feature,weight
intercept,-2.3542782709217792e-15
project_prf_year_of_project,0.07813621121524317
external_eef_industry_sector,-0.019634589524172685
external_eef_organisation_type,0.006662099188269155
project_prf_application_type,-0.06453912539220327
project_prf_functional_size,0.46362731965810955
project_prf_max_team_size,0.30015314161573947
process_pmf_docs,0.7682466433456725
tech_tf_server_roles,-0.016933126517989925
tech_tf_tools_used,-0.12362603784424858
people_prf_personnel_changes,-0.04693993043497269
external_eef_data_quality_rating_b,-0.07845844418421466
project_prf_application_group_business_application,-0.02880868651079764
project_prf_application_group_infrastructure_software,-0.1697090611875694
project_prf_application_group_mathematically_intensive_application,0.14803462178321616
project_prf_application_group_real_time_application,0.16718405304510225
project_prf_development_type_new_development,-0.07431950029014849
project_prf_development_type_re_development,0.022585264741415256
tech_tf_development_platform_mr,0.03881491299118345
tech_tf_development_platform_multi,0.01132206267971693
tech_tf_development_platform_pc,-0.26436708872985815
tech_tf_development_platform_proprietary,-0.0015045308770048893
tech_tf_language_type_4GL,0.18415099666823675
tech_tf_language_type_5GL,-0.001504530877006638
tech_tf_primary_programming_language_abap,-0.029869816213879408
tech_tf_primary_programming_language_c_,-0.080332016887878
tech_tf_primary_programming_language_c__,-0.010616512909539355
tech_tf_primary_programming_language_java,-0.1392014280723311
tech_tf_primary_programming_language_javascript,0.0913001616467989
tech_tf_primary_programming_language_oracle,-0.17689214330748937
tech_tf_primary_programming_language_pl_i,-0.008947354454069328
tech_tf_primary_programming_language_proprietary_agile_platform,-0.001504530877006277
project_prf_relative_size_l,-0.10083966573466996
project_prf_relative_size_m1,0.04588855972817532
project_prf_relative_size_m2,-0.15120591109834283
project_prf_relative_size_s,0.041484219041830556
project_prf_relative_size_xs,0.08894992697594495
project_prf_relative_size_xxs,-0.12657043965740655
project_prf_team_size_group_2,0.27124253062288073
project_prf_team_size_group_21_30,0.04138507565143526
project_prf_team_size_group_3_4,0.0665670323764046
project_prf_team_size_group_41_50,0.16859451711478718
project_prf_team_size_group_5_8,0.04587265527805884
project_prf_team_size_group_61_70,0.0
project_prf_team_size_group_9_14,0.06987288536994785
project_prf_team_size_group_Missing,0.2088052487400498
process_pmf_development_methodologies_agile_development,0.09854683576784312
process_pmf_development_methodologies_agile_development__iterative,0.16859451711478718
process_pmf_development_methodologies_agile_development__joint_application_development__jad___multifunctional_teams,0.0
process_pmf_development_methodologies_agile_development__personal_software_process__psp___unified_process,0.05606159756340365
process_pmf_development_methodologies_agile_development__scrum,0.019274009096170414
process_pmf_development_methodologies_agile_development__unified_process,0.038814912991185745
process_pmf_development_methodologies_personal_software_process__psp___unified_process,0.03821323065225527
tech_tf_architecture_client_server,-0.21235879655715967
tech_tf_architecture_multi_tier,0.029546005013563914
tech_tf_architecture_multi_tier_with_web_public_interface,-0.006496447476912692
tech_tf_architecture_stand_alone,-0.12024306271279384
tech_tf_client_server_no,-0.11175291776952856
tech_tf_client_server_yes,-0.15363066788567248
tech_tf_web_development_web,-0.1493870176109619
tech_tf_dbms_used_yes,0.15010233936150846
project_prf_cost_currency_canada__dollar,0.04884828600643926
project_prf_cost_currency_european__euro,0.19144182697640827
